time,pv,cv,sp,kp,ki,kd
231141,9.98,60.21,10.00,45.00,9.91,51.08
231648,10.00,53.72,10.00,45.00,9.91,51.08
232155,10.00,65.34,10.00,45.00,9.91,51.08
232663,9.99,62.46,10.00,45.00,9.91,51.08
233170,9.99,51.89,10.00,45.00,9.91,51.08
233670,9.99,63.09,10.00,45.00,9.91,51.08
234178,10.00,45.48,10.00,45.00,9.91,51.08
234685,10.04,48.50,10.00,45.00,9.91,51.08
235192,10.05,34.25,10.00,45.00,9.91,51.08
235699,10.09,52.02,10.00,45.00,9.91,51.08
236206,10.08,38.88,10.00,45.00,9.91,51.08
236713,10.04,38.62,10.00,45.00,9.91,51.08
237220,10.03,49.04,10.00,45.00,9.91,51.08
237727,9.98,73.83,10.00,45.00,9.91,51.08
238235,9.99,52.80,10.00,45.00,9.91,51.08
238742,9.95,40.79,10.00,45.00,9.91,51.08
239250,9.94,65.65,10.00,45.00,9.91,51.08
239749,9.94,43.90,10.00,45.00,9.91,51.08
240257,9.95,64.23,10.00,45.00,9.91,51.08
240764,9.93,51.17,10.00,45.00,9.91,51.08
241270,9.97,60.35,10.00,45.00,9.91,51.08
241778,9.99,46.49,10.00,45.00,9.91,51.08
242285,10.01,36.61,10.00,45.00,9.91,51.08
242792,10.04,65.21,10.00,45.00,9.91,51.08
243299,10.05,67.66,10.00,45.00,9.91,51.08
243806,10.06,44.62,10.00,45.00,9.91,51.08
244313,10.04,67.26,10.00,45.00,9.91,51.08
244821,10.05,50.85,10.00,45.00,9.91,51.08
245328,10.02,67.54,10.00,45.00,9.91,51.08
245828,10.01,46.18,10.00,45.00,9.91,51.08
246336,10.00,54.80,10.00,45.00,9.91,51.08
246843,9.98,50.49,10.00,45.00,9.91,51.08
247350,9.98,81.52,10.00,45.00,9.91,51.08
247857,9.95,70.56,10.00,45.00,9.91,51.08
248365,9.93,65.92,10.00,45.00,9.91,51.08
248873,9.95,64.00,10.00,45.00,9.91,51.08
249380,9.94,66.20,10.00,45.00,9.91,51.08
249887,9.94,64.53,10.00,45.00,9.91,51.08
250395,9.92,62.70,10.00,45.00,9.91,51.08
250902,9.91,69.31,10.00,45.00,9.91,51.08
251409,9.95,45.72,10.00,45.00,9.91,51.08
251909,9.99,53.18,10.00,45.00,9.91,51.08
252416,10.01,46.73,10.00,45.00,9.91,51.08
252923,10.02,67.48,10.00,45.00,9.91,51.08
253430,10.03,34.01,10.00,45.00,9.91,51.08
253937,10.04,63.78,10.00,45.00,9.91,51.08
254444,10.03,64.35,10.00,45.00,9.91,51.08
254952,10.00,59.45,10.00,45.00,9.91,51.08
255458,10.02,45.14,10.00,45.00,9.91,51.08
255965,9.99,37.11,10.00,45.00,9.91,51.08
256472,10.05,44.76,10.00,45.00,9.91,51.08
256979,10.06,37.59,10.00,45.00,9.91,51.08
257487,10.06,50.83,10.00,45.00,9.91,51.08
257990,10.10,34.31,10.00,45.00,9.91,51.08
258497,10.10,47.07,10.00,45.00,9.91,51.08
259005,10.10,66.87,10.00,45.00,9.91,51.08
259511,10.08,45.66,10.00,45.00,9.91,51.08
260018,10.06,56.60,10.00,45.00,9.91,51.08
260525,10.03,74.73,10.00,45.00,9.91,51.08
261033,9.94,68.68,10.00,45.00,9.91,51.08
261540,9.95,64.47,10.00,45.00,9.91,51.08
262046,9.93,40.56,10.00,45.00,9.91,51.08
262554,9.91,66.75,10.00,45.00,9.91,51.08
263061,9.93,63.42,10.00,45.00,9.91,51.08
263568,9.91,45.70,10.00,45.00,9.91,51.08
264068,9.91,65.73,10.00,45.00,9.91,51.08
264575,9.91,55.35,10.00,45.00,9.91,51.08
265082,9.92,35.17,10.00,45.00,9.91,51.08
265590,9.96,47.82,10.00,45.00,9.91,51.08
266097,9.99,58.62,10.00,45.00,9.91,51.08
266605,9.99,70.00,10.00,45.00,9.91,51.08
267111,10.03,39.43,10.00,45.00,9.91,51.08
267619,10.06,57.68,10.00,45.00,9.91,51.08
268126,10.04,60.34,10.00,45.00,9.91,51.08
268634,10.05,34.54,10.00,45.00,9.91,51.08
269141,10.01,33.14,10.00,45.00,9.91,51.08
269648,10.02,44.66,10.00,45.00,9.91,51.08
270157,10.02,47.27,10.00,45.00,9.91,51.08
270664,10.04,66.52,10.00,45.00,9.91,51.08
271171,10.02,62.79,10.00,45.00,9.91,51.08
271679,10.01,41.41,10.00,45.00,9.91,51.08
272186,10.00,66.49,10.00,45.00,9.91,51.08
272694,9.98,44.22,10.00,45.00,9.91,51.08
273201,9.97,40.40,10.00,45.00,9.91,51.08
273709,9.95,51.68,10.00,45.00,9.91,51.08
274215,9.95,46.77,10.00,45.00,9.91,51.08
274723,9.97,68.20,10.00,45.00,9.91,51.08
275230,9.97,71.17,10.00,45.00,9.91,51.08
275737,9.98,63.58,10.00,45.00,9.91,51.08
276237,9.98,51.85,10.00,45.00,9.91,51.08
276744,9.98,66.45,10.00,45.00,9.91,51.08
277252,9.99,53.94,10.00,45.00,9.91,51.08
277759,10.00,64.23,10.00,45.00,9.91,51.08
278267,10.03,45.31,10.00,45.00,9.91,51.08
278774,10.01,58.78,10.00,45.00,9.91,51.08
279282,10.02,57.95,10.00,45.00,9.91,51.08
279789,10.03,55.19,10.00,45.00,9.91,51.08
280296,10.06,40.03,10.00,45.00,9.91,51.08
280803,10.07,55.68,10.00,45.00,9.91,51.08
281310,10.04,55.65,10.00,45.00,9.91,51.08
281818,10.07,49.34,10.00,45.00,9.91,51.08
282318,10.05,57.79,10.00,45.00,9.91,51.08
282825,10.08,51.93,10.00,45.00,9.91,51.08
283332,10.04,51.89,10.00,45.00,9.91,51.08
283839,10.02,62.60,10.00,45.00,9.91,51.08
284346,9.99,59.94,10.00,45.00,9.91,51.08
284854,9.95,53.27,10.00,45.00,9.91,51.08
285361,9.98,64.80,10.00,45.00,9.91,51.08
285868,9.92,65.73,10.00,45.00,9.91,51.08
286376,9.95,54.87,10.00,45.00,9.91,51.08
286883,9.95,59.96,10.00,45.00,9.91,51.08
287390,9.97,66.19,10.00,45.00,9.91,51.08
287897,9.99,56.43,10.00,45.00,9.91,51.08
288405,9.98,57.91,10.00,45.00,9.91,51.08
288905,9.99,50.42,10.00,45.00,9.91,51.08
289412,10.03,47.31,10.00,45.00,9.91,51.08
289920,10.01,60.32,10.00,45.00,9.91,51.08
290427,10.02,52.52,10.00,45.00,9.91,51.08
290935,10.00,65.99,10.00,45.00,9.91,51.08
291442,9.98,51.27,10.00,45.00,9.91,51.08
291949,9.98,47.74,10.00,45.00,9.91,51.08
292457,9.97,52.21,10.00,45.00,9.91,51.08
292964,9.98,53.35,10.00,45.00,9.91,51.08
293473,9.98,59.44,10.00,45.00,9.91,51.08
293980,10.01,50.23,10.00,45.00,9.91,51.08
294487,9.98,66.62,10.00,45.00,9.91,51.08
294987,10.01,48.50,10.00,45.00,9.91,51.08
295494,9.98,54.10,10.00,45.00,9.91,51.08
296002,9.97,57.59,10.00,45.00,9.91,51.08
296509,9.94,46.85,10.00,45.00,9.91,51.08
297016,9.94,44.91,10.00,45.00,9.91,51.08
297523,9.94,61.84,10.00,45.00,9.91,51.08
298030,9.97,56.50,10.00,45.00,9.91,51.08
298538,9.94,56.98,10.00,45.00,9.91,51.08
299045,9.96,67.82,10.00,45.00,9.91,51.08
299552,9.99,55.36,10.00,45.00,9.91,51.08
300060,10.00,73.77,10.00,45.00,9.91,51.08
300567,10.01,62.64,10.00,45.00,9.91,51.08
301066,10.02,51.73,10.00,45.00,9.91,51.08
301573,10.01,42.94,10.00,45.00,9.91,51.08
302080,10.00,68.22,10.00,45.00,9.91,51.08
302587,10.00,45.21,10.00,45.00,9.91,51.08
303095,9.99,57.74,10.00,45.00,9.91,51.08
303602,10.01,62.85,10.00,45.00,9.91,51.08
304110,10.00,65.48,10.00,45.00,9.91,51.08
304616,10.02,61.86,10.00,45.00,9.91,51.08
305124,10.02,55.94,10.00,45.00,9.91,51.08
305631,10.05,49.29,10.00,45.00,9.91,51.08
306138,10.02,47.20,10.00,45.00,9.91,51.08
306646,10.00,58.90,10.00,45.00,9.91,51.08
307149,10.05,49.36,10.00,45.00,9.91,51.08
307656,10.03,49.71,10.00,45.00,9.91,51.08
308164,10.04,48.86,10.00,45.00,9.91,51.08
308671,10.05,100.00,20.00,45.00,9.91,51.08
309178,10.05,100.00,20.00,45.00,9.91,51.08
309685,10.10,100.00,20.00,45.00,9.91,51.08
310192,10.17,100.00,20.00,45.00,9.91,51.08
310699,10.30,100.00,20.00,45.00,9.91,51.08
311206,10.62,100.00,20.00,45.00,9.91,51.08
311713,10.88,100.00,20.00,45.00,9.91,51.08
312221,11.17,100.00,20.00,45.00,9.91,51.08
312730,11.35,100.00,20.00,45.00,9.91,51.08
313237,11.44,100.00,20.00,45.00,9.91,51.08
313744,11.73,100.00,20.00,45.00,9.91,51.08
314251,12.16,100.00,20.00,45.00,9.91,51.08
314759,12.52,100.00,20.00,45.00,9.91,51.08
315266,12.78,100.00,20.00,45.00,9.91,51.08
315774,13.09,100.00,20.00,45.00,9.91,51.08
316281,13.32,100.00,20.00,45.00,9.91,51.08
316788,13.51,100.00,20.00,45.00,9.91,51.08
317296,13.75,100.00,20.00,45.00,9.91,51.08
317803,13.84,100.00,20.00,45.00,9.91,51.08
318310,14.16,100.00,20.00,45.00,9.91,51.08
318810,14.46,100.00,20.00,45.00,9.91,51.08
319318,14.65,100.00,20.00,45.00,9.91,51.08
319825,14.88,100.00,20.00,45.00,9.91,51.08
320332,15.03,100.00,20.00,45.00,9.91,51.08
320839,15.28,100.00,20.00,45.00,9.91,51.08
321347,15.51,100.00,20.00,45.00,9.91,51.08
321854,15.81,100.00,20.00,45.00,9.91,51.08
