time,pv,cv,sp,kp
810485,49.4,90.57,50.0,150.0
811008,49.57,64.0,50.0,150.0
811531,49.8,29.63,50.0,150.0
812054,49.98,3.06,50.0,150.0
812577,50.09,0.0,50.0,150.0
813100,50.17,0.0,50.0,150.0
813622,50.15,0.0,50.0,150.0
814145,50.08,0.0,50.0,150.0
814668,50.0,0.72,50.0,150.0
815190,49.84,23.38,50.0,150.0
815713,49.71,42.91,50.0,150.0
816236,49.61,58.53,50.0,150.0
816758,49.53,70.25,50.0,150.0
817282,49.44,84.32,50.0,150.0
817807,49.35,96.82,50.0,150.0
818329,49.24,100.0,50.0,150.0
818852,49.19,100.0,50.0,150.0
819375,49.2,100.0,50.0,150.0
819897,49.37,94.47,50.0,150.0
820421,49.47,78.85,50.0,150.0
820944,49.71,43.69,50.0,150.0
821467,49.91,14.0,50.0,150.0
821989,50.06,0.0,50.0,150.0
822512,50.14,0.0,50.0,150.0
823035,50.12,0.0,50.0,150.0
823559,50.1,0.0,50.0,150.0
824081,49.99,1.5,50.0,150.0
824604,49.9,15.56,50.0,150.0
825127,49.76,35.88,50.0,150.0
825650,49.65,52.28,50.0,150.0
826175,49.52,71.82,50.0,150.0
826697,49.47,78.85,50.0,150.0
827220,49.43,85.88,50.0,150.0
827742,49.34,99.16,50.0,150.0
828265,49.22,100.0,50.0,150.0
828788,49.13,100.0,50.0,150.0
829310,49.31,100.0,50.0,150.0
829833,49.42,87.44,50.0,150.0
830355,49.68,47.6,50.0,150.0
830878,49.88,18.69,50.0,150.0
831401,50.01,0.0,50.0,150.0
831923,50.16,0.0,50.0,150.0
832446,50.15,0.0,50.0,150.0
832968,50.12,0.0,50.0,150.0
833491,50.09,0.0,50.0,150.0
834021,49.97,3.85,50.0,150.0
834543,49.84,24.16,50.0,150.0
835066,49.75,38.22,50.0,150.0
835589,49.61,57.75,50.0,150.0
836112,49.52,72.6,50.0,150.0
836635,49.45,81.97,50.0,150.0
837157,49.36,95.25,50.0,150.0
837680,49.29,100.0,50.0,150.0
838202,49.16,100.0,50.0,150.0
838725,49.25,100.0,50.0,150.0
839248,49.4,89.78,50.0,150.0
839771,49.48,78.06,50.0,150.0
840293,49.73,39.78,50.0,150.0
840816,49.88,18.69,50.0,150.0
841339,49.98,2.28,50.0,150.0
841861,50.05,0.0,50.0,150.0
842386,50.1,0.0,50.0,150.0
842909,50.04,0.0,50.0,150.0
843431,49.96,5.41,50.0,150.0
843954,49.81,28.85,50.0,150.0
844477,49.69,46.03,50.0,150.0
845000,49.58,63.22,50.0,150.0
845523,49.46,81.19,50.0,150.0
846046,49.43,85.88,50.0,150.0
846568,49.3,100.0,50.0,150.0
847091,49.23,100.0,50.0,150.0
847614,49.17,100.0,50.0,150.0
848136,49.34,99.16,50.0,150.0
848659,49.56,66.35,50.0,150.0
849182,49.7,45.25,50.0,150.0
849705,49.83,24.94,50.0,150.0
850230,50.03,0.0,50.0,150.0
850753,50.11,0.0,50.0,150.0
851276,50.09,0.0,50.0,150.0
